paradigmID,lexemeID,ipa,word,rating,informantID,source
1,2,goʃagoʃa,goshagosha,5,11,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,5,69,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,4,6,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,3,60,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,2,74,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,2,87,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,1,61,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,1,79,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,0,56,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,0,71,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,0,77,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,0,88,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,-1,84,Thompson et al. 2020
1,2,goʃagoʃa,goshagosha,-1,89,Thompson et al. 2020
